Date,Country,SIMDQuintile,DailyPositive,CumulativePositive,CrudeRatePositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,CumulativeNegative,CrudeRateNegative
20200411,S92000003,1,47,1357,125.119748912233,15,213,19.6392826221854,5260,484.9888572427
20200411,S92000003,2,40,1301,119.985907881073,13,178,16.4162118392244,4861,448.310144665561
20200411,S92000003,3,32,1101,101.309291469868,10,127,11.6859945655524,4785,440.29514957613
20200411,S92000003,4,30,1156,105.50207946789,8,114,10.4041843073871,4820,439.896213698295
20200411,S92000003,5,35,1160,106.73920024734,6,86,7.91342346661317,4827,444.163896201649
20200412,S92000003,1,54,1411,130.098721971378,10,223,20.5613146701753,5386,496.606461047373
20200412,S92000003,2,56,1357,125.150558796784,10,188,17.3384709313157,4981,459.377253770656
20200412,S92000003,3,34,1135,104.437825448047,16,143,13.1582458494016,4876,448.668578753022
20200412,S92000003,4,34,1190,108.605081805181,3,117,10.6779786312657,4905,447.653719541522
20200412,S92000003,5,42,1202,110.60389542871,7,93,8.55753933017471,4903,451.157154148888
20200413,S92000003,1,84,1495,137.843791174494,9,232,21.3911435133662,5564,513.018631501594
20200413,S92000003,2,69,1426,131.514146532214,9,197,18.1685041141978,5165,476.346821065135
20200413,S92000003,3,76,1211,111.431019046331,6,149,13.710340080845,5041,463.851170117716
20200413,S92000003,4,74,1264,115.35867512752,7,124,11.3168320536491,5053,461.1609061862
20200413,S92000003,5,53,1255,115.48077268139,7,100,9.20165519373625,5050,464.683587283681
20200414,S92000003,1,82,1577,145.404453968011,11,243,22.4053787661552,5763,531.367069256593
20200414,S92000003,2,78,1504,138.707767450525,13,210,19.3674409339164,5355,493.869743814869
20200414,S92000003,3,55,1266,116.491882834562,12,161,14.8145285437318,5191,477.653525903801
20200414,S92000003,4,63,1327,121.10835592897,4,128,11.6818911521539,5208,475.306946253262
20200414,S92000003,5,68,1323,121.737898213131,9,109,10.0298041611725,5222,480.510434216907
20200415,S92000003,1,79,1656,152.688507147131,12,255,23.5118172237431,5989,552.204993541165
20200415,S92000003,2,75,1579,145.62471064121,9,219,20.1974741167986,5538,510.747085200139
20200415,S92000003,3,60,1326,122.012825148996,11,172,15.8267013013781,5384,495.412557015231
20200415,S92000003,4,64,1391,126.949301505047,8,136,12.4120093491635,5402,493.012312530745
20200415,S92000003,5,50,1373,126.338725809999,1,110,10.1218207131099,5402,497.073413565632
20200416,S92000003,1,120,1776,163.752891723011,10,265,24.433849271733,6268,577.929687680084
